id,created_at,text
938612026519277568,2017-12-07 03:32:00,"b""Both play critical roles in burgeoning careers, and yet a lot of people don't know the difference.\nhttps://t.co/2895K2qm7j"""
938604728354852867,2017-12-07 03:03:00,"b'Another day, another bitcoin record. https://t.co/m6VjOiPOdY'"
938598347170111489,2017-12-07 02:37:38,"b'While some Trump voters are a bit skeptical, most enthusiastically support the policy that is largely targeted at c\xe2\x80\xa6 https://t.co/8A9Sedt8QM'"
938589376883412992,2017-12-07 02:02:00,"b'RT @cnntech: The judge ruled that the class was ""overbroad."" https://t.co/pB7F8GoM5V'"
938582330507132928,2017-12-07 01:34:00,"b""It's all about the preparation -- what happens before you actually get on the plane.\nhttps://t.co/FaJVRu2wH6"""
938574277342826498,2017-12-07 01:02:00,"b'Want some queso? You\'ll need to wear your ""cheesiest"" sweater first. https://t.co/vgp9Bdc3iW'"
938570256142012416,2017-12-07 00:46:01,b'Six women sue Harvey Weinstein and his company in class action lawsuit: https://t.co/8FGQq4Azpt https://t.co/mWaWoeM9GH'
938566476331732994,2017-12-07 00:31:00,"b""There are two rules with the elf: You can't touch the elf or he or she will lose their magic. \nhttps://t.co/1Ce22O91Gb"""
938562701596426241,2017-12-07 00:16:00,b'RT @cnntech: A feud between two streaming rivals is easing up. https://t.co/We2U5OdD8H'
938558927016484864,2017-12-07 00:01:00,"b'""Many customers complained they simply had no knowledge of ever signing up for such policies."" https://t.co/lLXl93WxN0'"
938555151593492480,2017-12-06 23:46:00,b'RT @cnntech: The Boring Company released a map this week sketching out a potential new tunnel system for Los Angeles that would transport c\xe2\x80\xa6'
938551880422129664,2017-12-06 23:33:00,"b""Stockton hopes to launch its program next year and enroll several hundred of the city's residents for at least a co\xe2\x80\xa6 https://t.co/xvEq40jou0"""
938547602559262720,2017-12-06 23:16:00,"b'The company delivers power to 15 million residents across 50,000 square miles in Southern California. https://t.co/ueID6Ennw9'"
938544790811107328,2017-12-06 23:04:50,"b""Randi Zuckerberg's pop-up kitchen is serving up tech for kids: https://t.co/rgJCAmQQo1 https://t.co/g0ibO4P6b7"""
938540303824375808,2017-12-06 22:47:00,b'NFL Commissioner Roger Goodell just scored a major win. https://t.co/pmSriDnAW6'
938536782794317824,2017-12-06 22:33:00,b'The best way to enjoy the City of Light\nhttps://t.co/e7zqANM2BE'
938532501894647808,2017-12-06 22:16:00,"b'""I am concerned about the possibility that the Treasury Department is burying critical research [in] an effort to m\xe2\x80\xa6 https://t.co/kg1zgtuywC'"
938529232086552576,2017-12-06 22:03:00,b'The bonus plan could actually pay out $32 million if the company reaches better than expected profit targets. https://t.co/Bpo6oz1COV'
938521933603360769,2017-12-06 21:34:00,b'It all comes down to timing. https://t.co/8WTfWKIyZW'
938514648206336002,2017-12-06 21:05:03,"b'Stocks close little changed. Dow falls 40 points, Nasdaq snaps 3-day slump. Energy stocks retreat as oil drops 3%. https://t.co/A9OlUXl3FI'"
938513879470084096,2017-12-06 21:02:00,b'Could it be enough to stave off bad press and passenger anxiety? https://t.co/q0JCEqrJ1U'
938506582387765249,2017-12-06 20:33:00,"b'In the male-dominated world of venture capital, @kirstenagreen is blazing a trail.\nhttps://t.co/6AV4BZCO0P'"
938498781036900358,2017-12-06 20:02:00,b'Here are eight tips to avoid a sticky travel situation altogether or at least more easily get yourself out of one:\xe2\x80\xa6 https://t.co/qrn8M3LXiP'
938491484818624512,2017-12-06 19:33:00,b'Experts have suggested several alternatives to help people better understand the concept.\nhttps://t.co/BVtjU0xvhW'
