id,created_at,text
938226495184621568,2017-12-06 02:00:02,"b""How to find out if your doctor is on pharmaceutical companies' payrolls: https://t.co/JMIK7UPniN https://t.co/TWuGizBxbn"""
938221708674240512,2017-12-06 01:41:01,"b'3 lessons from 1,000 years of shopping https://t.co/6xh9RsUmUT https://t.co/jjSj0uspNL'"
938216675547271168,2017-12-06 01:21:01,b'Now including Coldplay: these are the 5 highest-grossing tours of all time https://t.co/HhMoV7JYQd https://t.co/JznRb6aJY3'
938211547800920064,2017-12-06 01:00:38,"b""How A New Programming Language Created By Four Scientists Now Used By The World's Biggest Companies https://t.co/VgDLdPX1MF"""
938207371662422016,2017-12-06 00:44:03,"b'How This 24-Year-Old Repaid $61,000 Of Student Loans In 1.5 Years https://t.co/2iIXmjOVdO'"
938206608559149057,2017-12-06 00:41:01,b'Six creative strategies to battle burnout you may not have tried yet https://t.co/I8GXjWXZjT https://t.co/mDS2uVuUm7'
938201578909167616,2017-12-06 00:21:02,b'Report: women have sharper tech skills needed for employment than men https://t.co/frgfqiQiQB https://t.co/7Xw7VGiNF9'
938196295151386624,2017-12-06 00:00:02,b'Civic NationVoice: Allowing employers to opt-out of birth control coverage is bad for everyone\xe2\x80\xa6 https://t.co/ZSGVsYAxTO'
938192515475345408,2017-12-05 23:45:01,"b""This 24-year-old repaid $61,000 of student loans in 1.5 years. He's now going to see the World Cup in Russia to cel\xe2\x80\xa6 https://t.co/etess9IlCs"""
938188992826298379,2017-12-05 23:31:01,"b""If you're annoyed by Bitcoin, you'll probably like this https://t.co/y4lOVls3W8 https://t.co/jJkiTUIZNj"""
938184969238835201,2017-12-05 23:15:01,b'5 money saving tips to keep your budget on track this holiday season:\n\n- Make a plan\n- Go for low cost traditions\xe2\x80\xa6 https://t.co/5Zm41QO3hd'
938177417306353665,2017-12-05 22:45:01,"b'5 steps to becoming the best, most productive you in 2018 https://t.co/P6bub8GEjY https://t.co/PXovAOhkqT'"
938173893533192192,2017-12-05 22:31:01,b'These are the top countries for tattoo removal procedures:\n1. India\n2. Japan\n3. U.S.\n4. Italy\xe2\x80\xa6 https://t.co/HJN5mdiYnm'
938169876811845633,2017-12-05 22:15:03,"b""Spotify's most streamed female artists of 2017: \n1. Rihanna\n2. Taylor Swift\n3. Selena Gomez\nhttps://t.co/DhGUWjAar1 https://t.co/YIO2W8tMAW"""
938165881988841472,2017-12-05 21:59:11,"b""A Month After Arrests In Corruption Probe, Saudi Arabia's Attorney General Issues First Statement https://t.co/zkB1lPEZJq"""
938161313951436800,2017-12-05 21:41:02,"b'Four Saudi billionaires, including Prince Alwaleed bin Talal, are among the 159 people detained in a wide-ranged co\xe2\x80\xa6 https://t.co/BzKM5PV06Z'"
938161034036236294,2017-12-05 21:39:55,"b'NBA 2K League: How To Qualify, Salary Info, Draft Process, Twitter Account, Rules And More https://t.co/eQAItNLfUO'"
938159033009262592,2017-12-05 21:31:58,b'Professional Services Firm Grant Thornton Inks Its Biggest Sports Deal With Golf Partnership Trio https://t.co/yvKmeBejqK'
938156278114934784,2017-12-05 21:21:01,b'Millennials: the Chinese are ruining your 401k. The solution? Save more  https://t.co/RoiUi1B9tN https://t.co/KudwsUVnD9'
938150996177547264,2017-12-05 21:00:02,b'PaysafeVoice: What merchants should know in the fight against credit card fraud https://t.co/pdNDPvP2pp https://t.co/kSqwKluAHL'
938150485793665024,2017-12-05 20:58:00,b'Billionaire Owner of Outdoor Apparel Brand Patagonia Plans To Sue Trump https://t.co/WYYDRFRICc'
938150399533514753,2017-12-05 20:57:39,b'How The Purchase Of Fox Assets By Disney Could Save ESPN https://t.co/cwZkAIrRNQ'
938147218355314688,2017-12-05 20:45:01,"b'K-Pop boy bands BTS, EXO and Seventeen dominated Twitter in 2017, according to data from the social network\xe2\x80\xa6 https://t.co/9AkFAaIEfW'"
938143694846349314,2017-12-05 20:31:01,b'Shervin Pishevar steps aside at Sherpa and Hyperloop amid sexual harassment allegations https://t.co/mQknOhyYiV https://t.co/fQ3wS9dLYI'
938139668654317568,2017-12-05 20:15:01,b'Billionaire owner of Patagonia Yvon Chouinard plans to sue Trump for drastically cutting protected land in Bear Ear\xe2\x80\xa6 https://t.co/dzi12m4zCs'
938136050911899649,2017-12-05 20:00:38,"b""3 Reasons You're Not Getting Hired (Even Though You're 100% Qualified) https://t.co/LbwrUdENaM"""
938131111615582208,2017-12-05 19:41:01,b'The 5 biggest tech scandals of 2017 (so far) https://t.co/NFcx3JeSMR https://t.co/BVtd85cX78'
938130165208616960,2017-12-05 19:37:15,"b'Shervin Pishevar Steps Aside At Sherpa, Hyperloop Amid Sexual Harassment Allegations https://t.co/OEGaVs2Euw'"
938126083173552130,2017-12-05 19:21:02,"b'Billionaire Shahid Khan delivered pizza, supervised road construction and sold clothes at Sears to pay for college\xe2\x80\xa6 https://t.co/vYptuWxMHr'"
938121299490197504,2017-12-05 19:02:01,"b""'Location, location, location'? Not when you're making retirement housing decisions https://t.co/J5OP8UvVuV https://t.co/tbAtJ1AEuu"""
938117019244945413,2017-12-05 18:45:01,b'6 ways to make your LinkedIn profile standout and unforgettable https://t.co/O7jfXxNRmg https://t.co/nCu2KOMKUF'
938113401934499846,2017-12-05 18:30:38,b'Want To Be Successful? Break These Ten Bad Habits https://t.co/AEY4fViGF9'
938109470349185031,2017-12-05 18:15:01,b'Firearms background checks are surging in the U.S. https://t.co/IvOg5YMVUp https://t.co/TxzngBtNAZ'
938105701477515264,2017-12-05 18:00:03,b'The top business trends that will drive success in 2018: https://t.co/Tbb2nHEaPC https://t.co/Z4DGpijxeC'
938104318225502208,2017-12-05 17:54:33,"b""Steve Case's $150 million 'Rise of the Rest' fund gets heavyweight backing from Jeff Bezos, Sara Blakely, and Howar\xe2\x80\xa6 https://t.co/ydyC7xaoB1"""
938103746445369344,2017-12-05 17:52:16,"b'27 Top Cardiologists, Picked By Big Data https://t.co/zQb2bUsPUJ'"
938101920782344193,2017-12-05 17:45:01,"b""Cryptocurrency 'Monero' to be accepted by 45 musicians, including Mariah Carey, G-Eazy, Morrisey for holiday\xe2\x80\xa6 https://t.co/84VeS7iBrx"""
938098395444600832,2017-12-05 17:31:01,"b""How disrupting 'guy culture' in companies actually happens, according to a woman who has spent the last 30 years do\xe2\x80\xa6 https://t.co/Tw8IjKJ67E"""
938094706650738688,2017-12-05 17:16:21,b'RT @alexrkonrad: Beth Ferreira has joined New York early-stage VC firm FirstMark as its second female partner hire in just two months. http\xe2\x80\xa6'
938094372536684544,2017-12-05 17:15:02,"b'GM cars know how you like your coffee, and you can now order it on the dashboard https://t.co/RxVaQtdtFY https://t.co/MdYMcutHxO'"
938090752915238914,2017-12-05 17:00:39,b'Chronically Tardy People Have These Traits In Common https://t.co/vH1UGJ43jh'
938089912624209921,2017-12-05 16:57:18,b'2 Events That Could Send Bitcoin Back Toward $1K https://t.co/R8lP9OuhCH'
938086822311268352,2017-12-05 16:45:01,b'Biggest loser in the CVS-Aetna merger? Hospitals are great candidates  https://t.co/AD5PL0TL4d https://t.co/589B5hhcsk'
938083299523690502,2017-12-05 16:31:02,b'Avoid office holiday party pitfalls with this free webinar today https://t.co/UTnmosPQGZ https://t.co/SHYnVX4Roy'
938079269388988417,2017-12-05 16:15:01,b'Morgan StanleyVoice: Oil markets: The return of geopolitical risk https://t.co/knZSQg3Z05 https://t.co/9aMynKfa0e'
938075505181581313,2017-12-05 16:00:03,b'An enormous pool of molten rock has been found rising beneath New England https://t.co/O6csH3fODM https://t.co/f6pA08zX5Z'
938071724511416322,2017-12-05 15:45:02,"b""Introducing the NHL's most valuable teams of 2017 https://t.co/UatDsfwYsh https://t.co/mP6ANAE8bD"""
938070747884507138,2017-12-05 15:41:09,"b""The NHL's Most Valuable Teams https://t.co/yIByjFPsX2"""
938068103858094081,2017-12-05 15:30:39,"b'Marijuana May Be A Weapon Against Brain Aging, Suggests New Study https://t.co/eZAeWIof1l'"
938064171912089601,2017-12-05 15:15:01,b'FAA: drone strikes are more dangerous to airliners than birds https://t.co/rn0J7G6Nbn https://t.co/dKSxh53wxO'
938060400041570306,2017-12-05 15:00:02,b'Quote of the day: https://t.co/FYJzfp0vmT #ForbesAt100 https://t.co/SphCdwDLot'
938057138978607105,2017-12-05 14:47:04,"b""A Bevy Of Billionaires Join Steve Case's $150 Million 'Rise Of The Rest' Startup Fund https://t.co/5SzhPghX77"""
938056622907248640,2017-12-05 14:45:01,b'3 strategies to deal with credit card debt when rates are rising: https://t.co/GKMomXqGyL https://t.co/y8Aab8uypI'
938053107388420096,2017-12-05 14:31:03,b'Best states for business 2017:\n1. North Carolina\n2. Texas\n3. Utah\nhttps://t.co/6KqKGJ4zwK https://t.co/O8lhjx6cZR'
938045296835211264,2017-12-05 14:00:01,b'Your trips are about to get more personal. How will other industries change? https://t.co/lfHuPrOiVL https://t.co/YFNp35tLM5'
938040516326907904,2017-12-05 13:41:01,"b'Rising rents are costing nearly $2,000 a year more than they used to https://t.co/qmmVdxWLQJ https://t.co/MSIVFj0aBb'"
938035480905601024,2017-12-05 13:21:01,b'These are the countries that may get whacked if a crisis happens in 2018 https://t.co/KdODagU6Tk https://t.co/rbFzct9bmn'
938030200276836352,2017-12-05 13:00:02,b'Stocking stuffers: the best small tech devices to gift for the holidays https://t.co/cDRqmQStkY #ForbesFinds https://t.co/OinVEWqYMO'
938022805660151813,2017-12-05 12:30:39,"b""Four 'Smart' Career Moves That Actually Hurt You https://t.co/4m2TJeZhUL"""
938015098165252096,2017-12-05 12:00:01,b'These are the most (and least) charitable states in the U.S. in 2017 https://t.co/b0njJ8Yyjv https://t.co/9RGLuRI2K9'
937999996775002112,2017-12-05 11:00:01,b'SAPVoice: The factory of the future needs people https://t.co/LNoM9o9GRg https://t.co/cVX9ccg8yX'
937995195588759552,2017-12-05 10:40:56,"b'Cryptocurrency Monero To Be Accepted By 45 Musicians Such As Mariah Carey, G-Eazy, Sia For Holidays https://t.co/9PdcWr5uUR'"
937984900703145985,2017-12-05 10:00:01,b'How much understanding do we need from pop science?\n https://t.co/8WBDKoxVoj https://t.co/7QUfrCbS32'
937969800529301504,2017-12-05 09:00:01,"b""What U.S. rejection of China's market economy status could mean for U.S.-China trade: https://t.co/njfMlAthf4 https://t.co/uxXN4j2dDr"""
937954701437489154,2017-12-05 08:00:01,"b'The largest observed black hole merger of all time is coming soon (in astronomical terms, that is)\xe2\x80\xa6 https://t.co/9aOBdchmX0'"
937954700028235778,2017-12-05 08:00:01,"b'Researchers have successfully turned algae into micro-robots -- in the future, they could be used to deliver drugs\xe2\x80\xa6 https://t.co/RnqiPKFj7s'"
