id,created_at,text
938236577716801536,2017-12-06 02:40:06,"b'General Electric to cut 4,500 jobs in Europe: report https://t.co/Raca0Wcw21 https://t.co/nTH71Pmekn'"
938234093854187520,2017-12-06 02:30:14,b'Credit union sues to block Mulvaney from leading CFPB https://t.co/PaKRJ8NKuh https://t.co/RBg1eKGqUN'
938231571211018240,2017-12-06 02:20:12,b'Democrats flex muscles as Congress confronts a government shutdown https://t.co/HmQGAnBzPZ https://t.co/powEDReiSE'
938229023372701696,2017-12-06 02:10:05,"b'Interior secretary urges size cuts, management changes to more monuments https://t.co/pALmadnAjN https://t.co/SrigS4k6oE'"
938227369084628993,2017-12-06 02:03:30,b'JUST IN: U.S. President Donald Trump to recognize Jerusalem as the capital of Israel in speech \xe2\x80\x93 senior administrat\xe2\x80\xa6 https://t.co/2I8Y4lni1I'
938226531456962560,2017-12-06 02:00:11,b'Yemen humanitarian situation likely to worsen with Saleh death: Mattis https://t.co/hBxyN0et7c https://t.co/UhZLsobpd6'
938223994146377728,2017-12-06 01:50:06,"b""U.S. judge approves Toys 'R' Us bonus plan to spur holiday shopping https://t.co/x3tVsuuPYM https://t.co/XBLTeYIbs6"""
938222731035779072,2017-12-06 01:45:05,b'A company in San Francisco banked on a system of parts and pieces to get the price of its furniture down and up its\xe2\x80\xa6 https://t.co/xkx1PFBXU2'
938221470211289088,2017-12-06 01:40:04,b'White House says government shutdown always a possibility https://t.co/5SVobfOPGl https://t.co/cUvIQSQnKF'
938218994905042944,2017-12-06 01:30:14,"b""Maduro's cryptocurrency to fare no better than Venezuela itself: analysts https://t.co/8EpsLEXjYb https://t.co/4aImePPeKZ"""
938216466096295942,2017-12-06 01:20:11,b'Canada scraps plan to buy Boeing fighters amid trade dispute: sources https://t.co/CMXcqDsGNJ https://t.co/ryjsl1scbn'
938215906467110912,2017-12-06 01:17:57,b'Russia banned from Pyeongchang Winter Olympics https://t.co/qLRY5iF27H'
938215020915171329,2017-12-06 01:14:26,b'House tax positions begin to emerge ahead of talks with Senate https://t.co/cJdxqL93Mw'
938213924016672769,2017-12-06 01:10:05,b'Comedian John Oliver confronts Dustin Hoffman about sexual harassment claim https://t.co/pihwQx9qG5 https://t.co/zoyrFeER9p'
938211436639211520,2017-12-06 01:00:12,b'FDA approves Novo Nordisk diabetes drug Ozempic https://t.co/si7V1AKJsU https://t.co/gY2zREhoX5'
938208896375754752,2017-12-06 00:50:06,b'Trump lawyers say judge lacks jurisdiction for defamation lawsuit https://t.co/cMwDrO0lWe https://t.co/w3A5jAifAt'
938206379512422401,2017-12-06 00:40:06,b'Honduras opposition proposes election recount or run-off https://t.co/ojaB1XwKTk https://t.co/JceBqKeP8l'
938204805226553346,2017-12-06 00:33:51,b'Republican Party backs Senate candidate Moore: official https://t.co/EycbE0R480 https://t.co/NptP9LJfk9'
938203434238529537,2017-12-06 00:28:24,"b'U.S. B-1B bombers to fly over Korean peninsula, Yonhap reports https://t.co/kO5QMzVgfn'"
938203070684639232,2017-12-06 00:26:57,b'Plot to kill UK PM Theresa May foiled: Sky News https://t.co/qsv2EfxZHS https://t.co/uULAfcXNk1'
938201217934790656,2017-12-06 00:19:35,"b""RT @ReutersBiz: Gold, the Fed and you: @RenitaDYoung has this week's highlights in #GoldWatch https://t.co/n4sPPpDuzB"""
938201087143690240,2017-12-06 00:19:04,"b""From @ReutersTV: Recycled oil fuels Tokyo's Christmas 'cherry blossoms' https://t.co/DHZ1452m8D https://t.co/g4oB6s6flS"""
938198825839267841,2017-12-06 00:10:05,"b'Jury orders Bayer, J&amp;J to pay $28 million in Xarelto lawsuit https://t.co/d4PrUSnVx9 https://t.co/6LTcW4PcRu'"
938197514611838976,2017-12-06 00:04:53,"b""Gundlach says 'strange environment' to be cutting U.S. corporate taxes https://t.co/lnkbdfZidx https://t.co/Uw9DsVVB9I"""
938196065886654464,2017-12-05 23:59:07,"b'Locks &amp; Dam No. 52 is one of many choke points along 25,000 miles of U.S. waterways used to ship goods. This fall,\xe2\x80\xa6 https://t.co/urmAgn55yh'"
