Twitter Handle,Account,Link,Filtered/Unfiltered?
@BitPay,BitPay,https://twitter.com/BitPay,U
@coindesk,CoinDesk,https://twitter.com/coindesk,U
@BitcoinMagazine,Bitcoin Magazine,https://twitter.com/BitcoinMagazine,U
@rogerkver,Roger Ver,https://twitter.com/rogerkver,U
@bitcoincoreorg,Bitcoin Core Project,https://twitter.com/bitcoincoreorg,U
@Bitcoin,Bitcoin,https://twitter.com/Bitcoin,U
@Cointelegraph,Cointelegraph — Bitcoin and Cryptocurrency News,https://twitter.com/Cointelegraph,U
@BitcoinTrust,Bitcoin Trust,https://twitter.com/BitcoinTrust,U
@coinbase,Coinbase,https://twitter.com/coinbase,U
,,,
@WSJ,The Wall Street Journal,https://twitter.com/WSJ,F
@CNNMoney,CNNMoney,https://twitter.com/CNNMoney,F
@YahooFinance,Yahoo Finance,https://twitter.com/YahooFinance,F
@WSJbusiness,WSJ Business News,https://twitter.com/WSJbusiness,F
@MarketWatch,MarketWatch,https://twitter.com/MarketWatch,F
@Forbes,Forbes,https://twitter.com/Forbes,F
@Reuters,Reuters Top News,https://twitter.com/Reuters,F
@TheEconomist,The Economist,https://twitter.com/TheEconomist,F
@BBCBreaking,BBC Breaking News,https://twitter.com/BBCBreaking,F
@BBCWorld,BBC News (World),https://twitter.com/BBCWorld,F
@washingtonpost,Washington Post,https://twitter.com/washingtonpost,F
@ReutersBiz,Reuters Business,https://twitter.com/ReutersBiz,F
@businessinsider,Business Insider,https://twitter.com/businessinsider,F
