id,created_at,text
938622911337893888,2017-12-07 04:15:15,b'Slovenia-based cryptocurrency marketplace NiceHash says #bitcoin worth nearly $64 million hacked in a security brea\xe2\x80\xa6 https://t.co/WJWOS7IiQg'
938618859006898176,2017-12-07 03:59:09,b'Digital currency exchange NiceHash says bitcoin worth nearly $64 million hacked https://t.co/Qw6AXssRKV'
938618850609901568,2017-12-07 03:59:07,"b'Asia shares hover near 2-month low as growth, U.S. policy risks weigh https://t.co/z3ShkCtK3q'"
938618844314259457,2017-12-07 03:59:05,b'EXCLUSIVE: Uber paid 20-year-old Florida man to keep data breach secret - sources https://t.co/guVWT5xZ38 by\xe2\x80\xa6 https://t.co/9iT75h5Fh5'
938614055622926336,2017-12-07 03:40:04,b'Digital currency exchange NiceHash says bitcoin worth nearly $64 million hacked https://t.co/SBhyX8LWQe https://t.co/BKmW6fudxE'
938599655197282304,2017-12-07 02:42:50,"b'Air New Zealand cancels flights after ""events"" involving Rolls-Royce engines https://t.co/UTPkIY2BSJ'"
938598952894697473,2017-12-07 02:40:03,"b'Air New Zealand cancels flights after ""events"" involving Rolls-Royce engines https://t.co/WxhxCqvkSk https://t.co/pTCzokdz00'"
938591387515260929,2017-12-07 02:09:59,b'RT @Breakingviews: Trump and Warren make odd antitrust bedfellows https://t.co/pigiREA2zw @GinaChon'
938585757815660544,2017-12-07 01:47:37,"b'Asia shares hover near two-month low as growth, U.S. policy risks sap sentiment https://t.co/uH8L6R4jFG'"
938580348526571520,2017-12-07 01:26:07,"b'Bitcoin rises above $14,000 on Bitstamp to record high https://t.co/n5WkJBZo8R'"
938575185770434561,2017-12-07 01:05:36,b'VW executive gets seven years for U.S. emissions fraud https://t.co/hUN2fnIo6a'
938574324780367872,2017-12-07 01:02:11,b'Chevron sets 2018 capital budget at $18.3 billion https://t.co/Oqs0lFzwwR'
938573811036884993,2017-12-07 01:00:09,"b""Uber's top European dealmaker to step down from role https://t.co/CmEDlO7GZT https://t.co/GGg6q7vkwG"""
938572556512235520,2017-12-07 00:55:09,"b'JUST IN: Bitcoin rises above $14,000 on Bitstamp to a fresh record high https://t.co/ykpYASa5hQ'"
938570985275559936,2017-12-07 00:48:55,b'Chevron sets 2018 capital budget at $18.3 billion https://t.co/wvCt4ZIY7J https://t.co/K598ecMD2C'
938568538536718336,2017-12-07 00:39:12,b'Exclusive: Uber paid 20-year-old Florida man to keep data breach secret - sources https://t.co/0YdDTbOTeG'
938553654373691394,2017-12-06 23:40:03,b'Deutsche Boerse chairman considering early departure: Handelsblatt https://t.co/wMOUULkILz https://t.co/3oFf195q7O'
938550087210471424,2017-12-06 23:25:52,"b'RT @Breakingviews: U.S. coal country\xe2\x80\x99s best hope is gas, not coal https://t.co/20Hqo8iUW1 @TheRealLSL'"
938548628041420801,2017-12-06 23:20:04,b'U.S. Comptroller halts plan to remove in-house bank examiners https://t.co/gZkTp1jDOF https://t.co/N2djEGr2Tq'
938545399513706497,2017-12-06 23:07:15,b'Surging online orders slow Wal-Mart delivery network https://t.co/ENqyQFVgmd'
938543605056245760,2017-12-06 23:00:07,b'Surging online orders slow Wal-Mart delivery network https://t.co/WAEXAmKdaa https://t.co/73pWhhnScJ'
938540357029122049,2017-12-06 22:47:13,"b""Citigroup expects 'high teens' percentage fall in fourth-quarter markets revenue https://t.co/nN9Uu89uvm"""
938535058004172800,2017-12-06 22:26:09,b'Disney CEO likely to extend tenure if Fox deal happens: WSJ https://t.co/KqMWFey5BU'
938532349142290438,2017-12-06 22:15:23,b'Volkswagen executive sentenced to seven years for U.S. emissions fraud https://t.co/scGVsaic2f'
938532246616727553,2017-12-06 22:14:59,"b'Tech recovers, but not enough to push Wall St higher https://t.co/2IoV0cZvkN'"
938526660114243585,2017-12-06 21:52:47,"b""Citigroup sees 'high teens' percentage decline in fourth-quarter markets revenue https://t.co/0jHbknpkyg"""
938525805516410880,2017-12-06 21:49:23,b'S&amp;P 500 down for fourth straight session; energy drags https://t.co/dBsuIai0tZ'
938523457356222464,2017-12-06 21:40:03,"b""Citigroup sees 'high teens' percentage decline in fourth-quarter markets revenue https://t.co/40gzUSid67 https://t.co/Fm36tuwekA"""
938522057842790400,2017-12-06 21:34:30,b'Disney CEO Bob Iger to extend tenure past 2019: WSJ https://t.co/Cp2X8wWHqU'
938520341231669255,2017-12-06 21:27:40,b'Airbus faces hectic December to meet 2017 delivery goal https://t.co/CqckGEvJVA'
938518429241413632,2017-12-06 21:20:05,b'Disney CEO Bob Iger to extend tenure past 2019: WSJ https://t.co/fxFQRQZ8mC https://t.co/sV30ge1C6d'
938515635809775617,2017-12-06 21:08:59,"b'Bitcoin zooms above $13,000 to record high on relentless demand https://t.co/y57uM4JMvV'"
938513405635448834,2017-12-06 21:00:07,b'Airbus faces hectic December to meet 2017 delivery goal https://t.co/8k6Hb0nkSA https://t.co/FjDwGT5vgb'
938509182550073344,2017-12-06 20:43:20,"b""Uber's top European dealmaker to step down from role https://t.co/by2Rd1t5Mf"""
938505536206770176,2017-12-06 20:28:51,b'Tech recovery nudges Wall Street higher https://t.co/YUY0SJ6jCj'
938501045436801030,2017-12-06 20:11:00,"b""Canada's swipe at Boeing jets could open way for European rivals https://t.co/jRflN8pyHR"""
938498304148635649,2017-12-06 20:00:06,"b""Canada's swipe at Boeing jets could open way for European rivals https://t.co/oK6wclXtGG https://t.co/zITak6ZX10"""
938496343181492224,2017-12-06 19:52:19,b'EU urges internet companies to do more to remove extremist content https://t.co/Yg6rBlTOWr'
938495568242008064,2017-12-06 19:49:14,b'U.S. unit labor costs decline for two straight quarters https://t.co/5h9ygVvKEQ https://t.co/pUPvFHK4Lp'
938492630836695041,2017-12-06 19:37:34,"b'Home Depot sets $15 billion share buyback, investment plan https://t.co/eNloyOoxvR'"
938490021736321025,2017-12-06 19:27:12,b'EU urges internet companies to do more to remove extremist content https://t.co/TD75NEV9jm https://t.co/dRw8ylc7w5'
938487862034620416,2017-12-06 19:18:37,b'U.S. Comptroller halts plan to remove in-house bank examiners https://t.co/lrFkXoGFxv'
938487037384122370,2017-12-06 19:15:20,b'Deutsche Boerse chairman considering early departure: Handelsblatt https://t.co/JBc57dOJih'
938485297708494848,2017-12-06 19:08:25,b'Wall Street flat; rise in tech stocks offsets energy lag https://t.co/SQnOaqHdaw'
938483409890021376,2017-12-06 19:00:55,b'Gravity-defying property prices in China are spawning a mortgage fraud frenzy. Real estate agents and banks are par\xe2\x80\xa6 https://t.co/2KQ0og7c29'
938483205379887104,2017-12-06 19:00:06,"b""China's Ping An takes 5 percent stake in HSBC via Stock Connect https://t.co/YGuO8ZV9jy https://t.co/MhCaHhsyb0"""
938477186675245059,2017-12-06 18:36:12,"b'Google beats class action sex bias claims, for now https://t.co/1tpG6DIcWU'"
938473129848049664,2017-12-06 18:20:04,"b'Google beats class action sex bias claims, for now https://t.co/S24gnynJMV https://t.co/z7RjWYqkfc'"
938471209917992961,2017-12-06 18:12:27,"b'Exclusive: Ford set for China tie-up with Alibaba to test online, direct auto sales - source https://t.co/h8W6OAwgu5 https://t.co/HFGEQzbOfr'"
938465840143519745,2017-12-06 17:51:06,b'Italy fines Unilever for abuse of dominant position in ice cream https://t.co/NXPaiBvGAb'
938463775304372225,2017-12-06 17:42:54,b'Italy fines Unilever for abuse of dominant position in ice cream https://t.co/n2yFjVlG0T https://t.co/vIyxf5JqIf'
938461820381286405,2017-12-06 17:35:08,"b'Exclusive: Ford set for China tie-up with Alibaba to test online, direct auto sales - source https://t.co/EkaEl6T15d https://t.co/eqs3lKlupT'"
938460487330627584,2017-12-06 17:29:50,b'Wall Street hits a lull even as technology stocks gain https://t.co/CwCmizkese'
938459275164348416,2017-12-06 17:25:01,b'China commodity exchange penalty stirs worries of more curbs https://t.co/l49XHmAx4O https://t.co/g1VFNvo0CF'
938456796146085888,2017-12-06 17:15:10,"b""As Disney leads the race to acquire much of Twenty-First Century Fox's media empire, Britain pushes back date for f\xe2\x80\xa6 https://t.co/8L2o6fop5h"""
938453311941947393,2017-12-06 17:01:19,b'German prosecutors begin initial inquiry into BMW diesel emission allegations https://t.co/xvMVchxuYZ'
938451236256468993,2017-12-06 16:53:04,b'Britain pushes back date for findings on Murdoch\xe2\x80\x99s $15 billion bid for Sky as Disney watches from the wings\xe2\x80\xa6 https://t.co/SpDn7OKwo0'
938447212652228610,2017-12-06 16:37:05,"b'Exclusive: Ford set for China tie-up with Alibaba to test online, direct auto sales - source https://t.co/0jnH7VeFJm https://t.co/VhV2mxme5j'"
938441031930040320,2017-12-06 16:12:32,b'T-Mobile rolls out buyback plan after Sprint deal talks collapse https://t.co/IdySYrIXES'
938436775613222912,2017-12-06 15:55:37,b'Wal-Mart drops Stores from name to shed brick and mortar image https://t.co/fpgT02hrPA'
938435901742600193,2017-12-06 15:52:08,"b'General Electric to cut 4,500 jobs in Europe: source https://t.co/Zk3fHsNHNJ'"
938435901692301312,2017-12-06 15:52:08,b'Munich prosecutors start initial inquiry into BMW emissions allegations https://t.co/gxVDocj3m2'
938435393732730881,2017-12-06 15:50:07,"b'Google pulls YouTube from Amazon devices, escalating spat https://t.co/ugoOEYC4g5 https://t.co/pn4VjaPC8P'"
938434105867255808,2017-12-06 15:45:00,b'Tech stocks rise in choppy Wall Street trading https://t.co/68gLsuxiJh'
938432861350387713,2017-12-06 15:40:04,b'Wal-Mart drops Stores from name to shed brick and mortar image https://t.co/hWpKdpF6TO https://t.co/EIbSrhYwk0'
938431367905529856,2017-12-06 15:34:07,b'Home Depot sets $15 billion share buyback https://t.co/XvMMaC7Vdq'
938431367834107905,2017-12-06 15:34:07,b'U.S. unit labor costs decline for two straight quarters https://t.co/Z1BIRUmoTs'
938429784832577536,2017-12-06 15:27:50,b'Munich prosecutors start initial inquiry into BMW emissions allegations https://t.co/IXUz8WpaIf https://t.co/z4ZSqUuvkl'
938427013995614209,2017-12-06 15:16:49,b'Nasdaq set to recede for the fourth day https://t.co/Ng0kdeBMBy'
938426169006919680,2017-12-06 15:13:28,"b""'Swiss-made' label lacks precision for watch industry https://t.co/BLqsbm4rds"""
938424705861804037,2017-12-06 15:07:39,"b""'Swiss-made' label lacks precision for watch industry https://t.co/xbnrqDXsXX https://t.co/QKNdNWBVr0"""
938424481483231232,2017-12-06 15:06:46,b'BREAKING: Munich prosecutor opens preliminary inquiry into reports alleging BMW cheating on diesel emissions https://t.co/WTHOGXRZh7'
938422556721340421,2017-12-06 14:59:07,"b""Hong Kong's premium office space ranked world's most expensive https://t.co/zuGvN3XdcV https://t.co/F2ZHqzE2mp"""
938422550199177216,2017-12-06 14:59:05,"b'Bitcoin extends its eye-popping rally breaking above $12,000 https://t.co/b7HBL4Fyf6 More from #ReutersFintech:\xe2\x80\xa6 https://t.co/9i9ZnbzARB'"
938420127602790400,2017-12-06 14:49:28,b'Volkswagen executive faces sentencing in U.S. emissions fraud case https://t.co/IhToi57hwD'
938419053437313024,2017-12-06 14:45:11,"b'Google pulls YouTube from Amazon devices, escalating spat https://t.co/JuiPo06OrL https://t.co/E8PznEFjg3'"
938417762040537088,2017-12-06 14:40:04,"b""China's Ping An takes 5 percent stake in HSBC via Stock Connect https://t.co/p71PW7YNwD https://t.co/2KxeKbOHdH"""
938414082130096128,2017-12-06 14:25:26,"b'Three purchase agreements for one property, only one is genuine: Mortgage fraud in China\xe2\x80\x99s roaring property market\xe2\x80\xa6 https://t.co/hZYP2l8Ufz'"
938412734227648514,2017-12-06 14:20:05,b'Volkswagen executive faces sentencing in U.S. emissions fraud case https://t.co/XPrkdz6XLz'
938410548873564160,2017-12-06 14:11:24,"b""Europe's exchanges keep research buzz alive for small companies https://t.co/L4fTUddheI https://t.co/fSMIje91vo"""
938408710518509571,2017-12-06 14:04:06,"b'High tech, high finance and high times for U.S. pot industry https://t.co/RYBWYrp7OV https://t.co/fnjra7qXOU'"
938407195322052609,2017-12-06 13:58:04,b'T-Mobile board approves up to $1.5 billion buyback program https://t.co/1gRLI2s5jR'
