year,week,average sentiment score
2013,12,0.05249583907254362
2013,28,0.10779277146464644
2015,23,0.18264865921115925
2017,05,0.3011562277385063
2016,01,0.12870334441980785
2016,03,0.13240917620278086
2016,02,0.16731601731601736
2016,05,0.06041838652303769
2016,04,0.1225603472614342
2016,07,0.12844728800611155
2016,06,0.1520676232369781
2016,09,0.15169650169650167
2016,08,0.0804209070656439
2011,38,0.5708333333333333
2014,28,0.17363088388404843
2015,24,0.06691069347319346
2015,25,0.12640016233766233
2015,26,0.11904581529581532
2014,25,0.2115973319098319
2015,20,0.18948106060606065
2015,21,0.14718316640986134
2015,22,0.08377351097178684
2013,50,0.0897000466853408
2017,26,0.2893591083246257
2017,27,0.31644708749300576
2017,24,0.1549899169153827
2017,25,0.26056436000742933
2017,22,0.3336732817744055
2015,29,0.10498347373347373
2017,20,0.27573716534274784
2017,21,0.1821983493523673
2012,05,0.14444444444444446
2012,04,0.21290584415584415
2012,07,0.057222222222222216
2012,06,0.3181818181818182
2012,01,0.4055555555555556
2014,49,0.23720419400187448
2013,43,0.05240942028985506
2014,47,0.12028882575757574
2014,46,0.15458041958041963
2014,45,0.17294234006734008
2014,44,0.09955961229546136
2014,43,0.18012635592376972
2012,08,0.09896313364055301
2014,41,0.10269522144522145
2014,40,0.12541763117283955
2015,33,0.10005827505827505
2013,51,0.1796091871091871
2012,29,0.196796875
2013,23,0.13900673400673397
2015,41,0.1811407998907999
2013,20,0.28268518518518515
2012,27,0.01285870064279155
2014,26,0.16793784511380994
2013,21,0.25736652236652235
2016,38,0.269745475995476
2016,39,0.2504591078855785
2012,25,0.13171487603305784
2016,34,0.2472641638296978
2015,37,0.04970181134654818
2016,36,0.22339143990929705
2016,37,0.2776842035515506
2016,30,0.2651494537208823
2016,31,0.24476751643418315
2016,32,0.25266774891774896
2016,33,0.2888249539239639
2013,22,0.0631198347107438
2015,32,0.14254937770562773
2015,31,0.12053666362876887
2012,24,0.15531045751633982
2017,39,0.0817345758027873
2017,38,0.0805898190200936
2015,35,0.13026695526695528
2015,34,0.05721564425433472
2017,35,0.08773290110095663
2017,34,0.12402402233487757
2017,37,0.09140664372216785
2017,36,0.06644597293878118
2017,31,0.12658491215403794
2017,30,0.08248106060606059
2017,33,0.12626173110044064
2017,32,0.13205299279137755
2012,30,0.2524374930624931
2012,31,0.11239583333333335
2014,38,0.14348477226998355
2014,39,0.07569057926200784
2012,34,0.07917240587695133
2015,11,0.1299235011563779
2012,36,0.20277777777777778
2012,37,-0.04824561403508771
2014,32,0.13914555389965227
2014,33,0.13066279647380835
2014,30,0.1853724630348007
2014,31,0.15748214285714285
2015,30,0.160082304526749
2015,39,0.08317640692640692
2014,34,0.12712577455224514
2014,35,0.13801208701599324
2015,38,0.06930247172182655
2014,50,0.1341837118590389
2012,38,0.2861616161616162
2011,46,0.0
2013,16,0.17969576719576721
2014,36,0.1518081761006289
2016,29,0.21821955687246952
2016,28,0.2410882749326146
2016,35,0.32163495626458594
2016,23,0.13993629476584027
2016,22,0.12234147025813691
2016,21,0.07408181075460486
2016,20,0.08567001180637544
2016,27,0.24820771490414348
2016,26,0.22369628827962165
2016,25,0.16625103385774123
2016,24,0.20676520562770567
2013,31,0.1338887182637183
2013,30,0.13081709956709955
2013,33,0.1883101851851852
2013,41,0.15399406627854906
2013,35,0.03901176948051949
2013,34,-0.09566798941798942
2011,31,0.0
2013,36,0.03927951388888889
2013,39,0.08523253367003365
2017,01,0.250753467943249
2017,02,0.26651075487012993
2017,03,0.3870571095571096
2017,04,0.2767490755772006
2012,32,0.16062030075187972
2011,39,0.0
2017,07,0.4043442234848486
2015,46,0.112991822991823
2015,47,0.1191333912037037
2015,44,0.06854067889782176
2015,45,0.17501509691883257
2015,42,0.11559011164274323
2015,43,0.1610417418229918
2015,40,0.12140034444721944
2012,28,0.0625173611111111
2014,21,0.17008247154080489
2012,26,0.1523268398268398
2014,23,0.16154366466866463
2013,11,0.06350225861095425
2012,23,0.2225331439393939
2012,22,0.11694224857268336
2012,21,0.018037518037518036
2012,20,0.1555952380952381
2011,51,0.1590909090909091
2015,28,0.056505050505050496
2013,32,0.11029411764705883
2011,50,0.3666666666666667
2013,19,0.19153091060985797
2012,15,0.14305555555555557
2017,17,0.2831793206793208
2017,16,0.2635198135198137
2017,15,0.25935786435786445
2017,14,0.3121308016877638
2017,13,0.2614016164858861
2017,12,0.2628181568156815
2017,11,0.27176729520479515
2017,10,0.2777245179063361
2012,14,0.09779444693237796
2014,07,0.19048793583677304
2011,37,-0.08928571428571427
2017,19,0.2870120481927711
2017,18,0.2925985094451004
2014,14,0.1539109848484849
2011,43,0.022023809523809525
2014,16,0.1398478317659352
2014,17,0.1878212932900433
2014,10,0.15354587542087544
2014,11,0.06091937897493453
2014,12,0.12779090508257174
2014,13,0.23513257575757573
2013,04,0.245625
2013,05,0.15538009237786027
2013,06,0.18317836528550813
2017,29,0.059227693602693615
2016,52,0.3019416386083053
2014,19,0.08302053637419493
2016,50,0.2857870370370371
2016,51,0.2884345461030855
2013,13,0.09427194018103108
2015,51,0.11286163023967903
2015,50,0.16836835251469398
2015,53,0.26218377976190477
2015,52,0.18472222222222223
2015,17,0.04075548107806172
2012,50,0.17604166666666668
2012,51,0.08756944444444445
2016,47,0.3078400072150072
2014,24,0.15336174242424244
2014,08,0.12323232323232322
2012,35,0.13159090909090912
2011,27,0.0
2013,17,0.11488215488215489
2012,13,0.12083333333333333
2017,23,0.18862295521587552
2011,45,0.2833333333333333
2013,15,0.10361773918321537
2011,29,0.0
2013,14,0.06613302477664179
2014,42,0.18268409402668662
2014,51,0.15395899787347156
2014,03,0.2235178571428571
2014,02,0.27657196969696973
2014,01,0.13028348965848965
2013,18,0.12899621212121212
2016,49,0.24414541068952836
2014,06,0.15312926562926563
2014,05,0.09688852813852813
2014,04,0.12494412878787878
2016,45,0.24601182701398217
2016,44,0.23863871545121554
2014,09,0.05017676249357285
2016,46,0.2584513547508598
2016,41,0.28078552399980977
2016,40,0.2533280661921127
2016,43,0.2214346385937296
2016,42,0.24199447748513173
2012,49,0.17301431871910594
2012,48,0.1906451418951419
2012,41,0.1984542393633303
2012,40,0.1263967803030303
2012,43,0.16590320910973083
2012,42,0.13043771043771044
2012,45,0.15583333333333335
2012,44,0.2507440476190476
2012,47,0.1401476714423143
2012,46,0.13413667929292927
2011,42,0.25
2013,02,0.10858829365079363
2012,03,0.05677083333333333
2014,15,0.05656966490299823
2016,48,0.23835241819112785
2014,48,0.17479325063358675
2015,48,0.15580592414831546
2013,26,0.049702380952380956
2011,33,0.0
2016,53,0.14307359307359307
2013,47,0.10848561371288645
2013,29,0.1956140350877193
2013,08,0.15156974177522123
2014,27,0.17367492566356207
2015,36,0.10796425796425797
2011,44,0.25
2012,09,0.04550020292207792
2011,52,0.37500000000000006
2015,49,0.1323637247106635
2013,10,0.18252077223851418
2013,27,-0.027853535353535363
2012,02,-0.017187499999999967
2017,06,0.2815077861952862
2013,38,0.17652777777777778
2017,28,0.09160545183982684
2014,37,0.13160853324915825
2011,48,0.28125000000000006
2013,07,0.027096943460579823
2012,39,0.101625
2014,29,0.26617144660894665
2014,18,0.08827959830866808
2015,13,0.14281385281385284
2013,24,0.18930149711399713
2013,01,0.17498567608861726
2015,27,0.19443232548701297
2017,48,0.07312690024488225
2017,49,0.081714759599375
2017,44,0.121608120075862
2017,45,0.089736423464102
2017,46,0.08661533161211823
2017,47,0.08548686022627391
2017,40,0.07684412450576245
2017,41,0.08697285353535351
2017,42,0.1044384377758164
2017,43,0.08089749791454336
2013,48,0.22039053731762062
2015,18,0.025006313131313126
2012,17,0.12188057040998217
2013,25,0.18056344696969698
2012,16,0.0623241341991342
2012,52,0.058363893450100346
2014,22,0.1075058275058275
2015,08,0.20824915824915827
2015,09,0.11592575056116722
2011,49,0.2
2015,02,0.15483903564869472
2015,03,0.1871410902023147
2013,09,0.1956837606837607
2015,01,0.12796636696636696
2015,06,0.13760157377344878
2015,07,0.1389935064935065
2015,04,0.1819627637987013
2015,05,0.10485350398393878
2017,08,0.30386541669009204
2012,10,0.1818181818181818
2017,09,0.3023665633608816
2011,47,0.17375000000000002
2014,20,0.1597545797698237
2011,28,1.0
2016,12,0.1350285839444003
2016,13,0.08517949767949769
2016,10,0.096019071019071
2016,11,0.04410511363636363
2016,16,0.030805605070310955
2016,17,0.09139966393255866
2016,14,0.09695666987333652
2016,15,0.1137999311294766
2017,52,0.3382954545454545
2016,18,0.07471033868092693
2016,19,0.10504495504495505
2013,52,0.08958333333333332
2015,12,0.11737597987597988
2013,37,-0.0943452380952381
2013,44,0.14438027250527255
2015,14,0.105153810835629
2015,19,0.09978476853476853
2013,49,0.1255328141357553
2014,52,0.19790356704376053
2012,33,0.10673037190082643
2012,12,0.0
2013,46,0.13353879706152436
2013,03,0.12361769872639437
2012,11,0.09635416666666667
2013,40,0.12135959010959012
2015,10,0.09922299922299921
2013,42,0.2435872395833333
2015,16,0.19325757575757577
2015,15,0.14421928646066579
2013,45,0.08721334971334971
2012,18,0.07847222222222222
2012,19,0.07477482195224132
