id,created_at,text
938624622995664896,2017-12-07 04:22:03,"b'Opinion: The Zionist case against Trump moving the Israeli embassy to Jerusalem, by Eliora Katz https://t.co/id5XIU4Q40'"
938624167678791680,2017-12-07 04:20:15,b'A Japanese court ruled that television owners must sign up with public broadcaster NHK\xe2\x80\x94and fork out a monthly fee https://t.co/WqkesmN148'
938619134954430464,2017-12-07 04:00:15,"b""Apple's chief executive defends pulling 674 apps from China store at Beijing\xe2\x80\x99s request https://t.co/pVaWvdTOgN"""
938614053634756608,2017-12-07 03:40:03,"b""Ford's reversal could be risky\xe2\x80\x94President Trump has criticized firms for making vehicles in Mexico and shipping them\xe2\x80\xa6 https://t.co/jYM9iCKnLx"""
938609538898505728,2017-12-07 03:22:07,b'Opinion: Trump puts an end to a federal land grab in southeast Utah https://t.co/wGWLoZ5Q1Z'
938609027260600321,2017-12-07 03:20:05,b'Republicans are weighing a number of changes that would expand tax cuts and force offsetting adjustments https://t.co/NITFb92PsZ'
938604045983461376,2017-12-07 03:00:17,"b""Tech firms fear Beijing's security reviews could expose proprietary source code, jeopardizing trade secrets https://t.co/rKLBKip11T"""
938598959597187073,2017-12-07 02:40:04,"b'Chinese banks may not have enough assets to weather possible losses from growing credit risks, review warns https://t.co/CU8G4mJd9M'"
938595511275282432,2017-12-07 02:26:22,"b""President's son invoked attorney-client privilege when asked by congressional investigators about a conversation he\xe2\x80\xa6 https://t.co/iGgR1pP8Yz"""
938594433687224321,2017-12-07 02:22:05,"b'Opinion: San Francisco wasn\xe2\x80\x99t a sanctuary for Kate Steinle, writes @jasonrileywsj https://t.co/0ZxBsGVvV3'"
938592950749159425,2017-12-07 02:16:12,"b'U.S. calls on Cambodia to reinstate opposition party and release its leader, Kem Sokha, who was arrested in Septemb\xe2\x80\xa6 https://t.co/usRjJ7pIhe'"
938589652268830720,2017-12-07 02:03:05,"b'Among the issues in play: deductions for medical expenses and state income taxes, both of which were repealed in Ho\xe2\x80\xa6 https://t.co/LsMOxYXfsB'"
938586398822731776,2017-12-07 01:50:10,"b'As smartphones become more common in North Korea, technology is giving the government a powerful spying tool https://t.co/O1E0oM9F5u'"
938586397895790592,2017-12-07 01:50:10,b'Real estate data firms CoStar and Xceligent are near a settlement over data-theft lawsuit https://t.co/TujWNecA7H'
938584371120017408,2017-12-07 01:42:06,"b'The IMF report summarized findings from a stress test on 33 banks, accounting for 74% of assets in China\xe2\x80\x99s banking\xe2\x80\xa6 https://t.co/sK2cAb5Ytg'"
938581390303645696,2017-12-07 01:30:16,"b""Yemeni Houthis' motto: \xe2\x80\x98Death to America, Death to Israel, Curse to the Jews, Victory to Islam\xe2\x80\x99 https://t.co/5vBePAv513"""
938579069284823041,2017-12-07 01:21:02,"b'Opinion: The prospect of a competitive U.S. tax system triggers mass liberal hysteria, writes @FreemanWSJ https://t.co/IspbCo8c7J'"
938578795820453888,2017-12-07 01:19:57,"b""They'll drink to that: Tax overhaul offers alcohol industry first tax cut since Civil War\nhttps://t.co/U2txUL11O4"""
938575337448968194,2017-12-07 01:06:12,"b'Chris Bosh, once one of the Big Three on the Miami Heat, is selling his home there for $18 million\nhttps://t.co/XXwrFUMHRx'"
938571266801524738,2017-12-07 00:50:02,"b""A VW manager got seven years in jail for his part in the company's emissions scandal\nhttps://t.co/iRac5HT4Aa"""
938570567267115008,2017-12-07 00:47:15,"b""Michael Flynn sent a text to an ex-colleague on Inauguration Day, according to the whistleblower's account in a let\xe2\x80\xa6 https://t.co/yp2PqJDevn"""
938569020655226881,2017-12-07 00:41:06,b'Video: How North Korean smartphones are loaded with surveillance tools that allow the government to spy on its peop\xe2\x80\xa6 https://t.co/WND7oN8nwa'
938568786407510016,2017-12-07 00:40:11,b'Prosecutors said Brandon Kiehm claimed to work in the financial industry and told women he met on Tinder that he ne\xe2\x80\xa6 https://t.co/W3kSWDACEp'
938566302117003264,2017-12-07 00:30:18,"b'Homelessness is on the rise for the first time since 2010, especially in expensive places such as New York and Los\xe2\x80\xa6 https://t.co/2HAQnAXN2E'"
938563980162936833,2017-12-07 00:21:05,b'Opinion: A Roy Moore victory in Alabama may be more costly than a defeat for the GOP https://t.co/WzeJhXt0sh'
938563730052403200,2017-12-07 00:20:05,b'Confusion over China\xe2\x80\x99s tough new cyberspace law has triggered higher operating costs for U.S. firms in the country https://t.co/TNU0VvTeE2'
938561229144158209,2017-12-07 00:10:09,"b'The NFL gave Roger Goodell a new deal, but it has the potential to pay him far less than he has received in previou\xe2\x80\xa6 https://t.co/f8KKXiqFUq'"
938558709948706816,2017-12-07 00:00:08,"b""'I hate stuffed animals.' Fed-up parents turn to subterfuge, empathy and blindfolds https://t.co/t3fLWIg9kx"""
938556177809657857,2017-12-06 23:50:04,"b'U.S. health-care spending rose 4.3% last year, down from 5.8% in 2015 and 5.1% in 2014\nhttps://t.co/01Eo8LV0uX'"
938553687802372096,2017-12-06 23:40:11,b'A Louvre Abu Dhabi tweet about da Vinci\xe2\x80\x99s \xe2\x80\x98Salvator Mundi\xe2\x80\x99 sparks speculation https://t.co/Xsnzalz67o'
938551166643863552,2017-12-06 23:30:10,b'How prematurely do airlines tout their service upgrades? Lufthansa is already talking up 2020 improvements. https://t.co/QPdlDHndDy'
938548689915797504,2017-12-06 23:20:19,b'Opinion: What is China\xe2\x80\x99s angle in North Korea? writes Daniel Nidess https://t.co/iLkUvIiQzV'
