id,created_at,text
918638354069164032,2017-10-13 00:43:45,Thank you to @Twitter for verifying the Bitcoin Core project @bitcoincoreorg twitter account. https://t.co/C53A5b4nVZ
918366707047108608,2017-10-12 06:44:20,Please be aware of accounts trying to pass them self off as Bitcoin Core project's twitter account @bitcoincoreorg https://t.co/C53A5b4nVZ
908500681484627968,2017-09-15 01:20:16,Bitcoin Core 0.15.0 has been released. Read all about it! https://t.co/zbHC41U5TB
902887882947411974,2017-08-30 13:37:00,"Correcting misleading statements about btc1 and ""segwit2x"" https://t.co/S7AhfflyRZ"
902163115801845766,2017-08-28 13:37:02,"The Bitcoin Core project rejected the pull request for NYA ""segwit2x"" https://t.co/t8d8BHFSCX"
895092373486788612,2017-08-09 01:20:26,RT @eric_lombrozo: A toast to the man who made a concrete proposal for #SegWit and then implemented most of it. https://t.co/hm0bm17ILo
876062604724240384,2017-06-17 13:02:56,Bitcoin Core 0.14.2 Released! https://t.co/PuCEz3yNds
856060374575075328,2017-04-23 08:21:12,Bitcoin Core 0.14.1 Released https://t.co/MBJ9JnVVFN
848876701102878721,2017-04-03 12:35:51,Watch this amazing presentation by Pieter Wuille on his research into BCH/Bech32 addresses for SegWit #mbga @pwuille https://t.co/IaVvluldSv
844902744418930688,2017-03-23 13:24:46,Technology Roadmap - Schnorr Signatures and Signature Aggregation! https://t.co/syYhPMP8uT https://t.co/AApCeT6D6M
843791985211187201,2017-03-20 11:51:00,"Bitcoin Core 0.14.0 What’s New? @BitcoinMagazine
https://t.co/Pzy90ey8Wj"
841993635260469249,2017-03-15 12:45:00,"What's new in Bitcoin Core 0.14, by Jonas Schnelli - Bitcoin Core Developer @_jonasschnelli_ https://t.co/RyNOVww9Sd"
841957711323500545,2017-03-15 10:22:15,"RT @_jonasschnelli_: Reviewing, testing and maintenance are the most important duties to be done by a blockchain developer team. A slide fr…"
841318681133105155,2017-03-13 16:02:59,On-chain scaling - a review of historical performance optimization made to Bitcoin’s reference software. Part 1… https://t.co/g75XyOBhSH
839418165050290176,2017-03-08 10:11:00,Bitcoin Core 0.14.0 released with huge performance boost and many new features and bugfixes… https://t.co/azLlpoA2cS
838746492194045953,2017-03-06 13:42:01,"Fascinating interview with applied cryptographer, cypherpunk and Bitcoin protocol researcher, Dr. Adam Back @adam3us https://t.co/xBfthopQg1"
833643867354193920,2017-02-20 11:46:00,"Interview with Bitcoin Core contributor and maintainer, Jonas Schnelli @_jonasschnelli_ by @creationlayer https://t.co/tw97iUBx1j"
831086311348006912,2017-02-13 10:23:12,"An Interview with Bitcoin Core contributor, Eric Lombrozo @eric_lombrozo by @creationlayer https://t.co/fWKYkJLtdt"
824383865724747777,2017-01-25 22:30:04,"RT @BitcoinTrezor: Wondering what #SegWit means for #TREZOR? How will it help hardware wallets? Explore the topic on our blog! 😎

https://t…"
823595929437671425,2017-01-23 18:19:05,Great resources and FAQs about Segwit https://t.co/1kxHhj3wSH
